name,category,price,description
GFT01,Set For Two,28.9,2 Single BBQ Beefacon® + 2 Onion Rings + 2 Cokes
GFT02,Set For Two,31.9,1 Long Cheesy Onion Beef + 1 Long Chicken + 2 Onion Rings + 2 Cokes
GFT03,Set For Two,35.9,2 BK Tendergrill™ + 9 Pcs Nuggets with Cheese Sauce + 2 Coke
GFT04,Set For Two,25.9,2 Whopper® Jr. + 2 Cheesy Fries + 2 Cokes
Triple Cheese Double Beef,Limited Time Offer,16.5,"Triple the cheese, triple the deliciousness! The Triple Cheese Double Beef is made with 2 flame-grilled beef patty and includes 3 kinds of cheese – American, Swiss, and Nacho Cheese Sauce. The burger is served in a sesame seed bun and topped with fresh onions, lettuce and a slice of Beefacon™"
Triple Cheese Double Beef Medium Value M,Limited Time Offer,21.5,"Triple the cheese, triple the deliciousness! The Triple Cheese Double Beef is made with 2 flame-grilled beef patty and includes 3 kinds of cheese – American, Swiss, and Nacho Cheese Sauce. The burger is served in a sesame seed bun and topped with fresh onions, lettuce and a slice of Beefacon™"
Triple Cheese Double Beef Large Value Me,Limited Time Offer,23.5,"Triple the cheese, triple the deliciousness! The Triple Cheese Double Beef is made with 2 flame-grilled beef patty and includes 3 kinds of cheese – American, Swiss, and Nacho Cheese Sauce. The burger is served in a sesame seed bun and topped with fresh onions, lettuce and a slice of Beefacon™"
Kakiage Beef,Limited Time Offer,15.9,"Crunchy and delicious – Enjoy fried tempura-style vegetables covered in honey soy sauce, mayonnaise and served with a flame-grilled beef patty between sesame seed buns!"
Kakiage Beef Medium Value Meal,Limited Time Offer,20.9,"Crunchy and delicious – Enjoy fried tempura-style vegetables covered in honey soy sauce, mayonnaise and served with a flame-grilled beef patty between sesame seed buns!"
Kakiage Beef Large Value Meal,Limited Time Offer,22.9,"Crunchy and delicious – Enjoy fried tempura-style vegetables covered in honey soy sauce, mayonnaise and served with a flame-grilled beef patty between sesame seed buns!"
Kakiage Chicken,Limited Time Offer,15.5,"Get a taste of Japan with tempura-style sliced vegetables served with sweet-salty honey soy sauce, mayonnaise, and a crispy chicken patty between sesame seed buns!"
Kakiage Chicken Medium Value Meal,Limited Time Offer,20.5,"Get a taste of Japan with tempura-style sliced vegetables served with sweet-salty honey soy sauce, mayonnaise, and a crispy chicken patty between sesame seed buns!"
Kakiage Chicken Large Value Meal,Limited Time Offer,22.5,"Get a taste of Japan with tempura-style sliced vegetables served with sweet-salty honey soy sauce, mayonnaise, and a crispy chicken patty between sesame seed buns!"
Tendergrill,Chicken,13.4,"Flame-grilled chicken thighs to soft, juicy perfection. Wonder why it’s called Tendergrill™? That’s ‘cos we made sure to flame-grill the chicken thighs to soft, juicy perfection"
Tendergrill Medium Value Meal,Chicken,18.4,"Flame-grilled chicken thighs to soft, juicy perfection. Wonder why it’s called Tendergrill™? That’s ‘cos we made sure to flame-grill the chicken thighs to soft, juicy perfection"
Tendergrill Large Value Meal,Chicken,20.41,"Flame-grilled chicken thighs to soft, juicy perfection. Wonder why it’s called Tendergrill™? That’s ‘cos we made sure to flame-grill the chicken thighs to soft, juicy perfection"
Mushroom Tendergril,Chicken,17.9,Enjoy the creaminess of mushroom & melted Swiss cheese with a perfectly flame-grilled chicken patty served between soft sesame buns
Mushroom Tendergrill Medium Value Meal,Chicken,22.4,Enjoy the creaminess of mushroom & melted Swiss cheese with a perfectly flame-grilled chicken patty served between soft sesame buns
Mushroom Tendergrill Large Value Meal,Chicken,24.4,Enjoy the creaminess of mushroom & melted Swiss cheese with a perfectly flame-grilled chicken patty served between soft sesame buns
French Chicken,Chicken,15.9,"A crispy long chicken patty, two pieces of melted Swiss cheese, delicious chicken strips and creamy mayo sandwiched between our 7"" toasted long sesame buns."
French Chicken Medium Value Meal,Chicken,20.9,"A crispy long chicken patty, two pieces of melted Swiss cheese, delicious chicken strips and creamy mayo sandwiched between our 7"" toasted long sesame buns."
French Chicken Large Value Meal,Chicken,22.9,"A crispy long chicken patty, two pieces of melted Swiss cheese, delicious chicken strips and creamy mayo sandwiched between our 7"" toasted long sesame buns."
Long Chicken,Chicken,11.9,Delightfully tasty crispy chicken fillet topped with shredded lettuce & creamy mayo & served on a 7” sesame seed bun.
Long Chicken Medium Value Meal,Chicken,16.9,Delightfully tasty crispy chicken fillet topped with shredded lettuce & creamy mayo & served on a 7” sesame seed bun.
Long Chicken Large Value Meal,Chicken,18.9,Delightfully tasty crispy chicken fillet topped with shredded lettuce & creamy mayo & served on a 7” sesame seed bun.
Fried Chicken 2Pcs Medium Value Meal,Chicken,19.9,"Crunchy on the outside. Juicy on the inside. Be warned, our fried chicken can be pretty addictive."
Fried Chicken 2Pcs Large Value Meal,Chicken,21.9,"Crunchy on the outside. Juicy on the inside. Be warned, our fried chicken can be pretty addictive."
Chick n Crisp,Chicken,8.4,"Crispy chicken fillet topped with garden-fresh lettuce & creamy mayo, served on a sesame seed bun"
Chick n Crisp Medium Value Meal,Chicken,13.4,"Crispy chicken fillet topped with garden-fresh lettuce & creamy mayo, served on a sesame seed bun"
Chick n Crisp Large Value Meal,Chicken,15.4,"Crispy chicken fillet topped with garden-fresh lettuce & creamy mayo, served on a sesame seed bun"
Triple Whopper Jr with Cheese,Premium,18.4,
Triple Whopper Jr with Cheese Medium Val,Premium,23.4,
Triple Whopper Jr with Cheese Large Valu,Premium,25.4,
Steakhouse Whopper,Premium,18.8,"Signature Steakhouse Whopper®, a mighty burger perfectly crafted for a satisfying meal. Packed with American cheese, Beefacon® strips, crispy onion and a mouth-watering 5-inch patty that is 100% beef and 100% flame-grilled with no preservatives or added fillers"
Steakhouse Whopper Medium Value Meal,Premium,23.8,"Signature Steakhouse Whopper®, a mighty burger perfectly crafted for a satisfying meal. Packed with American cheese, Beefacon® strips, crispy onion and a mouth-watering 5-inch patty that is 100% beef and 100% flame-grilled with no preservatives or added fillers"
Steakhouse Whopper Large Value Meal,Premium,25.8,"Signature Steakhouse Whopper®, a mighty burger perfectly crafted for a satisfying meal. Packed with American cheese, Beefacon® strips, crispy onion and a mouth-watering 5-inch patty that is 100% beef and 100% flame-grilled with no preservatives or added fillers"
Supreme Salmon,Premium,18.8,"This supremely juicy salmon burger comes with creamy Nacho cheese sauce, tartar sauce, fresh lettuce, 2 crispy salmon patties & American cheese"
Supreme Salmom Medium Value Meal,Premium,23.8,"This supremely juicy salmon burger comes with creamy Nacho cheese sauce, tartar sauce, fresh lettuce, 2 crispy salmon patties & American cheese"
Supreme Salmon Large Value Meal,Premium,25.8,"This supremely juicy salmon burger comes with creamy Nacho cheese sauce, tartar sauce, fresh lettuce, 2 crispy salmon patties & American cheese"
Whopper,Real Whopper,15.7,"THE REAL WHOPPER® - Meaty flame-grilled beef patty, topped with tangy pickles, ketchup, fresh tomatoes, crisp lettuce and fresh onions, finished with mayo and served on a toasted 5"" sesame seed bun"
Whopper Medium Value Meal,Real Whopper,20.7,"THE REAL WHOPPER® - Meaty flame-grilled beef patty, topped with tangy pickles, ketchup, fresh tomatoes, crisp lettuce and fresh onions, finished with mayo and served on a toasted 5"" sesame seed bun"
Whopper Large Value Meal,Real Whopper,22.71,"THE REAL WHOPPER® - Meaty flame-grilled beef patty, topped with tangy pickles, ketchup, fresh tomatoes, crisp lettuce and fresh onions, finished with mayo and served on a toasted 5"" sesame seed bun"
Whopper with Cheese,Real Whopper,18.7,"What else can we say, all the great taste of the Real Whopper®? with Cheese - a truly cheesy-licious WHOPPIN time"
Whopper with Cheese Medium Value Meal,Real Whopper,23.7,"What else can we say, all the great taste of the Real Whopper® with Cheese - a truly cheesy-licious WHOPPIN time"
Whopper with Cheese Large Value Meal,Real Whopper,25.71,"What else can we say, all the great taste of the Real Whopper®? with Cheese - a truly cheesy-licious WHOPPIN time"
Whopper Jr,Beef,9.4,"The same big Whopper® taste, but in a regular size. A flame-grilled beef patty topped with tomatoes, lettuce, pickles and onions, served on a toasted sesame seed bun, flavored with mayo & ketchup"
Whopper Jr Medium Value Meal,Beef,14.39,"The same big Whopper® taste, but in a regular size. A flame-grilled beef patty topped with tomatoes, lettuce, pickles and onions, served on a toasted sesame seed bun, flavored with mayo & ketchup"
Whopper Jr Large Value Meal,Beef,16.4,"The same big Whopper® taste, but in a regular size. A flame-grilled beef patty topped with tomatoes, lettuce, pickles and onions, served on a toasted sesame seed bun, flavored with mayo & ketchup"
Mushroom Swiss Single,Beef,12.4,"Creamy subtle taste of mushroom and melted Swiss cheese with perfectly grilled beef patty, served on a toasted sesame seed bun"
Mushroom Swiss Single Medium Value Meal,Beef,17.41,"Creamy subtle taste of mushroom and melted Swiss cheese with perfectly grilled beef patty, served on a toasted sesame seed bun"
Mushroom Swiss Single Large Value Meal,Beef,19.4,"Creamy subtle taste of mushroom and melted Swiss cheese with perfectly grilled beef patty, served on a toasted sesame seed bun"
Mushroom Swiss Double,Beef,16.9,"Melted Swiss cheese on two flame-grilled beef patties, topped with BK""s special mushroom sauce, served on a toasted sesame seed bun"
